Feature Set,Model,Mean Accuracy,Standard Deviation
List 1,RFC,0.8000594177064766,0.03735053932052676
List 1,LOGREG,0.8796791443850268,0.025841579593562234
List 1,KNN,0.41978609625668445,0.019540206360553
List 2,RFC,0.9099821746880571,0.02477440491906049
List 2,LOGREG,0.9396910279263221,0.04306656684580095
List 2,KNN,0.8398692810457516,0.015442889386057044
List 3,RFC,0.8603683897801545,0.026049091166705868
List 3,LOGREG,0.9093879976232917,0.043275103067269394
List 3,KNN,0.8401663695781343,0.05086377791808128
List 4,RFC,0.700237670825906,0.040741226978995675
List 4,LOGREG,0.700237670825906,0.020868222612995768
List 4,KNN,0.6898395721925134,0.016784844791236563
List 5,RFC,0.6206179441473559,0.04541277853036727
List 5,LOGREG,0.5903149138443257,0.033287175865547934
List 5,KNN,0.6497326203208557,0.018906598427447817
