Names	total	elements
LASSO-RFECV LASSO-Relaxed LASSO-Splits RF-RFECV RF-Splits	1	2184
LASSO-RFECV LASSO-Relaxed LASSO-Splits RF-RFECV	2	2026
		2213
LASSO-RFECV LASSO-Relaxed LASSO-Splits	5	2750
		1656
		1900
		1678
		791
RF-RFECV RF-Splits	3	2183
		2207
		2211
LASSO-Relaxed RF-RFECV	6	1902
		1956
		2058
		2547
		2593
		1973
LASSO-Relaxed RF-Splits	1	1672
LASSO-Relaxed LASSO-Splits	11	118
		2017
		2218
		1091
		772
		2776
		2791
		2817
		854
		2021
		192
LASSO-RFECV LASSO-Relaxed	7	2825
		695
		2210
		1643
		1061
		1559
		2024
RF-RFECV	48	2528
		2609
		2465
		1884
		2288
		1977
		2655
		2140
		1909
		2641
		1874
		2185
		2485
		2167
		2492
		2019
		2027
		2481
		1910
		2124
		2004
		2691
		2677
		2112
		2643
		2603
		1972
		1887
		2116
		1877
		1997
		2614
		2433
		2529
		1883
		1976
		2464
		2435
		2085
		2113
		2690
		2065
		2018
		1906
		2546
		1896
		2669
		2063
RF-Splits	7	1242
		2221
		855
		2036
		2675
		2223
		848
LASSO-Relaxed	51	1677
		190
		746
		2827
		1657
		261
		226
		1191
		2742
		432
		792
		771
		1059
		2379
		1110
		674
		1816
		1881
		2328
		2383
		486
		1563
		2099
		1160
		230
		2760
		415
		1856
		1035
		189
		2747
		2423
		1569
		2189
		765
		2219
		2276
		1009
		2501
		1243
		2829
		818
		2420
		851
		1562
		185
		2329
		1869
		2342
		1062
		1642
